"KML3D" "longTAPIO_sample" "longTAPIO_trajectories"
"1" 0.986598879940902 0.986598879940902 0.986598879940902
"2" 1 1 0.960630467282476
"3" 1 0.973066095899961 1
"4" 0.973333124730886 1 0.986598879940902
"5" 1 0.935807541467887 0.986598879940902
"6" 1 0.986598879940902 0.986598879940902
"7" 1 0.986598879940902 1
"8" 0.986598879940902 0.986598879940902 1
"9" 1 1 1
"10" 1 1 1
"11" 0.986598879940902 1 0.97347395681731
"12" 1 1 1
"13" 0.986598879940902 0.986598879940902 1
"14" 1 1 1
"15" 0.973466666666667 0.986598879940902 0.97347395681731
"16" 1 1 1
"17" 1 1 1
"18" 0.986598879940902 0.973333124730886 0.960354441775282
"19" 1 0.986598879940902 0.986598879940902
"20" 0.97347395681731 1 1
"21" 0.986598879940902 0.986598879940902 0.986598879940902
"22" 1 1 0.986598879940902
"23" 1 1 1
"24" 0.986598879940902 0.973466666666667 0.948073410454901
"25" 1 0.948073410454901 0.97347395681731
"26" 0.973466666666667 0.923837365536673 0.934167775610836
"27" 0.97347395681731 1 1
"28" 1 1 1
"29" 1 1 1
"30" 0.986598879940902 0.986598879940902 0.986598879940902
"31" 0.986598879940902 0.986598879940902 0.986598879940902
"32" 1 1 1
"33" 1 1 0.986598879940902
"34" 1 1 1
"35" 1 0.986598879940902 1
"36" 0.97347395681731 0.986598879940902 0.935807541467887
"37" 0.973333124730886 1 1
"38" 1 0.986598879940902 0.986598879940902
"39" 1 1 1
"40" 0.97347395681731 1 0.986598879940902
"41" 0.986598879940902 0.973333124730886 1
"42" 0.986598879940902 1 0.96006736952087
"43" 0.960630467282476 0.97347395681731 0.97347395681731
"44" 0.973466666666667 0.960338099219033 0.934140664553199
"45" 0.986598879940902 1 0.986598879940902
"46" 1 1 1
"47" 0.986598879940902 1 1
"48" 0.960354441775282 0.97347395681731 1
"49" 1 0.986598879940902 1
"50" 0.986598879940902 1 0.986598879940902
