"Visit","Feature","Final_cluster","Risk_group","Importance"
1,"albumin",2,"Lower-risk trajectory",0.698531915780738
2,"albumin",2,"Lower-risk trajectory",0.663458458546726
3,"albumin",2,"Lower-risk trajectory",0.680837413424593
4,"albumin",2,"Lower-risk trajectory",0.681314361828741
5,"albumin",2,"Lower-risk trajectory",0.687327738042647
1,"alkaline",2,"Lower-risk trajectory",0.70935379342604
2,"alkaline",2,"Lower-risk trajectory",0.677190365304385
3,"alkaline",2,"Lower-risk trajectory",0.661481798576725
4,"alkaline",2,"Lower-risk trajectory",0.65757225102057
5,"alkaline",2,"Lower-risk trajectory",0.666734396165907
1,"platelets",2,"Lower-risk trajectory",0.650813892426696
2,"platelets",2,"Lower-risk trajectory",0.728734884956099
3,"platelets",2,"Lower-risk trajectory",0.678733014764376
4,"platelets",2,"Lower-risk trajectory",0.681096779138683
5,"platelets",2,"Lower-risk trajectory",0.674160875148696
1,"prothrombin",2,"Lower-risk trajectory",0.876477602801699
2,"prothrombin",2,"Lower-risk trajectory",0.932003716261483
3,"prothrombin",2,"Lower-risk trajectory",0.976378690092003
4,"prothrombin",2,"Lower-risk trajectory",0.972433844203387
5,"prothrombin",2,"Lower-risk trajectory",0.977833351762285
1,"serBilir",2,"Lower-risk trajectory",0.931458074951801
2,"serBilir",2,"Lower-risk trajectory",0.958832358871209
3,"serBilir",2,"Lower-risk trajectory",0.906889674974032
4,"serBilir",2,"Lower-risk trajectory",0.921601415180362
5,"serBilir",2,"Lower-risk trajectory",0.922731587121967
1,"serChol",2,"Lower-risk trajectory",0.695076459262861
2,"serChol",2,"Lower-risk trajectory",0.686065529528691
3,"serChol",2,"Lower-risk trajectory",0.663489455306637
4,"serChol",2,"Lower-risk trajectory",0.665839020293467
5,"serChol",2,"Lower-risk trajectory",0.674254328208366
1,"SGOT",2,"Lower-risk trajectory",0.82384448055627
2,"SGOT",2,"Lower-risk trajectory",0.749660877889363
3,"SGOT",2,"Lower-risk trajectory",0.713058988306493
4,"SGOT",2,"Lower-risk trajectory",0.709801013831647
5,"SGOT",2,"Lower-risk trajectory",0.711265413565076
1,"albumin",1,"Higher-risk trajectory",0.656424189361684
2,"albumin",1,"Higher-risk trajectory",0.633481974000445
3,"albumin",1,"Higher-risk trajectory",0.603394240330393
4,"albumin",1,"Higher-risk trajectory",0.614830036426588
5,"albumin",1,"Higher-risk trajectory",0.643746463881307
1,"alkaline",1,"Higher-risk trajectory",0.757532756080013
2,"alkaline",1,"Higher-risk trajectory",0.744118098992335
3,"alkaline",1,"Higher-risk trajectory",0.755971226013893
4,"alkaline",1,"Higher-risk trajectory",0.770725123240759
5,"alkaline",1,"Higher-risk trajectory",0.780657045260209
1,"platelets",1,"Higher-risk trajectory",0.701273699208696
2,"platelets",1,"Higher-risk trajectory",0.680584679315253
3,"platelets",1,"Higher-risk trajectory",0.697304971797275
4,"platelets",1,"Higher-risk trajectory",0.70559581473259
5,"platelets",1,"Higher-risk trajectory",0.706903894439976
1,"prothrombin",1,"Higher-risk trajectory",0.862392263259645
2,"prothrombin",1,"Higher-risk trajectory",0.879199176531452
3,"prothrombin",1,"Higher-risk trajectory",0.979862761423868
4,"prothrombin",1,"Higher-risk trajectory",0.979672306167364
5,"prothrombin",1,"Higher-risk trajectory",0.97711341311723
1,"serBilir",1,"Higher-risk trajectory",0.929402086022514
2,"serBilir",1,"Higher-risk trajectory",0.89278469976427
3,"serBilir",1,"Higher-risk trajectory",0.856870251804572
4,"serBilir",1,"Higher-risk trajectory",0.870324350141616
5,"serBilir",1,"Higher-risk trajectory",0.891766909614914
1,"serChol",1,"Higher-risk trajectory",0.723951960501239
2,"serChol",1,"Higher-risk trajectory",0.670358086145538
3,"serChol",1,"Higher-risk trajectory",0.667412604814222
4,"serChol",1,"Higher-risk trajectory",0.675330636408988
5,"serChol",1,"Higher-risk trajectory",0.675259900023701
1,"SGOT",1,"Higher-risk trajectory",0.888408908465766
2,"SGOT",1,"Higher-risk trajectory",0.844490072259313
3,"SGOT",1,"Higher-risk trajectory",0.862504323477493
4,"SGOT",1,"Higher-risk trajectory",0.886254227930251
5,"SGOT",1,"Higher-risk trajectory",0.879130088111543
