"Visit","Feature","Importance"
1,"albumin",0.68194402355505
2,"albumin",0.65164954039213
3,"albumin",0.65032949675112
4,"albumin",0.655123566973348
5,"albumin",0.670159357312422
1,"alkaline",0.728333384774575
2,"alkaline",0.703555836151153
3,"alkaline",0.698704906355003
4,"alkaline",0.702147624925493
5,"alkaline",0.711613015506087
1,"platelets",0.670691998128696
2,"platelets",0.709766622127887
3,"platelets",0.686049240262185
4,"platelets",0.690747914372646
5,"platelets",0.687059640324049
1,"prothrombin",0.870928832679072
2,"prothrombin",0.911201927882986
3,"prothrombin",0.977751203040919
4,"prothrombin",0.975285359522529
5,"prothrombin",0.977549739568778
1,"serBilir",0.930648139919051
2,"serBilir",0.932813584071506
3,"serBilir",0.887185053725457
4,"serBilir",0.901401359256007
5,"serBilir",0.91053338083131
1,"serChol",0.706451656720404
2,"serChol",0.679877748801995
3,"serChol",0.665034938445989
4,"serChol",0.669578141793521
5,"serChol",0.674650462559862
1,"SGOT",0.84927895215698
2,"SGOT",0.787017833247222
3,"SGOT",0.771931393070826
4,"SGOT",0.779312886052309
5,"SGOT",0.777393921719745
