"scenario","method","n","ARI","NMI","seconds","mean_ARI","sd_ARI","mean_NMI","sd_NMI"
"nuisance50","longTAPIO-random_weighted",30,"0.752 +/- 0.107","0.769 +/- 0.094","1.795 +/- 0.287",0.752438130504357,0.107468625391747,0.768524041335133,0.0936567257781061
"nuisance50","longTAPIO-random_weighted_95",30,"0.800 +/- 0.091","0.808 +/- 0.081","1.807 +/- 0.063",0.800044769737474,0.0908371575525317,0.80750392842601,0.0810008587747685
"nuisance50","longTAPIO-first",30,"0.900 +/- 0.093","0.916 +/- 0.070","1.743 +/- 0.065",0.899642372309314,0.0925542029311924,0.916479640222739,0.0703398073914288
"nuisance50","longTAPIO-screened",30,"0.896 +/- 0.095","0.916 +/- 0.072","4.298 +/- 0.065",0.896277656759582,0.0949397442605518,0.916407370857561,0.0715719094549967
"nuisance50","clusterMLD",30,"0.874 +/- 0.129","0.898 +/- 0.096","1.635 +/- 0.054",0.873989514236182,0.128524423285387,0.897688879946556,0.0955501347293169
"nuisance50","kml3d",30,"0.624 +/- 0.096","0.660 +/- 0.074","1.946 +/- 0.059",0.623863892943807,0.0955120529851993,0.660353981069881,0.0737755552217158
"nuisance100","longTAPIO-random_weighted",30,"0.421 +/- 0.130","0.457 +/- 0.118","1.870 +/- 0.062",0.420943616401605,0.129953832433037,0.456641497213928,0.118067710934821
"nuisance100","longTAPIO-random_weighted_95",30,"0.382 +/- 0.116","0.417 +/- 0.109","1.850 +/- 0.067",0.382412325700727,0.115843933848059,0.416633659161123,0.108673845388663
"nuisance100","longTAPIO-first",30,"0.836 +/- 0.110","0.855 +/- 0.086","1.822 +/- 0.061",0.836468394717478,0.109565363065289,0.855019138420681,0.0863002920817645
"nuisance100","longTAPIO-screened",30,"0.881 +/- 0.109","0.906 +/- 0.082","4.375 +/- 0.088",0.881352853685153,0.109151861497353,0.90584506798428,0.0817303407305915
"nuisance100","clusterMLD",30,"0.783 +/- 0.110","0.810 +/- 0.080","2.584 +/- 0.061",0.782892375126827,0.109909710118623,0.80954116471875,0.0798975311545777
"nuisance100","kml3d",30,"0.241 +/- 0.078","0.269 +/- 0.070","7.299 +/- 0.136",0.241285858358741,0.0782690049402319,0.268584681376774,0.0700666775192159
"standard","longTAPIO-random_weighted",30,"0.872 +/- 0.101","0.901 +/- 0.073","1.516 +/- 0.060",0.871687380489641,0.100711820852274,0.900893886112766,0.0731629448858028
"standard","longTAPIO-random_weighted_95",30,"0.860 +/- 0.124","0.893 +/- 0.091","1.501 +/- 0.040",0.860436942473804,0.123601503178775,0.893497700901615,0.0912192675205521
"standard","longTAPIO-first",30,"0.853 +/- 0.114","0.886 +/- 0.084","1.506 +/- 0.046",0.85257826606232,0.114360191426554,0.886105549716232,0.0836648918666908
"standard","longTAPIO-screened",30,"0.872 +/- 0.101","0.901 +/- 0.073","1.516 +/- 0.060",0.871687380489641,0.100711820852274,0.900893886112766,0.0731629448858028
"standard","clusterMLD",30,"0.843 +/- 0.104","0.876 +/- 0.076","1.117 +/- 0.040",0.842870293119637,0.103554438524497,0.876045464945698,0.076319850856689
"standard","kml3d",30,"0.800 +/- 0.059","0.814 +/- 0.047","0.265 +/- 0.033",0.80044652884973,0.0590569749676703,0.814202978209248,0.0466417800476699
"irregular","longTAPIO-random_weighted",30,"0.742 +/- 0.134","0.773 +/- 0.098","1.732 +/- 0.013",0.741654544832186,0.13416023294524,0.773082101746982,0.0984012576413549
"irregular","longTAPIO-random_weighted_95",30,"0.742 +/- 0.134","0.772 +/- 0.101","1.805 +/- 0.018",0.741725593014499,0.133934174691489,0.77188998108438,0.100776820707223
"irregular","longTAPIO-first",30,"0.741 +/- 0.131","0.771 +/- 0.097","1.684 +/- 0.009",0.741264918450403,0.130563487169366,0.770735792049069,0.0970092782129588
"irregular","longTAPIO-screened",30,"0.742 +/- 0.134","0.773 +/- 0.098","1.732 +/- 0.013",0.741654544832186,0.13416023294524,0.773082101746982,0.0984012576413549
"irregular","clusterMLD",30,"0.781 +/- 0.088","0.794 +/- 0.069","1.082 +/- 0.007",0.78082000792141,0.0876630453015814,0.793585998488408,0.0694783644197979
"irregular","kml3d",30,"0.686 +/- 0.046","0.705 +/- 0.037","0.369 +/- 0.006",0.685658904805644,0.0459842463637049,0.705473196846103,0.0366453000886515
"imbalanced","longTAPIO-random_weighted",30,"0.550 +/- 0.107","0.667 +/- 0.087","1.601 +/- 0.044",0.549870662286669,0.106537259182307,0.666703268197301,0.086806475738306
"imbalanced","longTAPIO-random_weighted_95",30,"0.541 +/- 0.122","0.664 +/- 0.092","1.545 +/- 0.055",0.541411221963708,0.121993829086654,0.663502075513882,0.0924655943137205
"imbalanced","longTAPIO-first",30,"0.561 +/- 0.121","0.676 +/- 0.085","1.532 +/- 0.044",0.560525699439023,0.121336651042914,0.675983728111318,0.0850302262764054
"imbalanced","longTAPIO-screened",30,"0.555 +/- 0.112","0.672 +/- 0.078","4.062 +/- 0.059",0.554539708849855,0.112197258085623,0.671611798126449,0.0781108710118417
"imbalanced","clusterMLD",30,"0.571 +/- 0.132","0.676 +/- 0.087","1.150 +/- 0.036",0.57111000491433,0.132064383976167,0.675607560486667,0.0869064947249591
"imbalanced","kml3d",30,"0.523 +/- 0.105","0.606 +/- 0.078","0.353 +/- 0.004",0.523193188445998,0.10464958977572,0.605825995952167,0.0778007562452192
