"scenario","run","method","ARI","NMI","seconds"
"standard",1,"longTAPIO-random_weighted",1,1,2.21499999999651
"standard",1,"longTAPIO-random_weighted_95",1,1,2.30199999999604
"standard",1,"longTAPIO-first",0.75929862137949,0.785451563715777,2.13800000000629
"standard",1,"longTAPIO-screened",1,1,2.21499999999651
"standard",1,"clusterMLD",1,1,1.72400000000198
"standard",1,"kml3d",1,1,0.302999999999884
"standard",2,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.28600000000733
"standard",2,"longTAPIO-random_weighted_95",0.935807541467887,0.939569164298292,2.14400000000023
"standard",2,"longTAPIO-first",0.819058595948464,0.834211377037904,2.15800000001036
"standard",2,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.28600000000733
"standard",2,"clusterMLD",1,1,1.71800000000803
"standard",2,"kml3d",0.986598879940902,0.982247792620475,0.306000000011409
"standard",3,"longTAPIO-random_weighted",1,1,2.13399999999092
"standard",3,"longTAPIO-random_weighted_95",0.973333124730886,0.964567724802747,2.15499999999884
"standard",3,"longTAPIO-first",0.681192868710894,0.702623022205486,2.1710000000021
"standard",3,"longTAPIO-screened",1,1,2.13399999999092
"standard",3,"clusterMLD",1,1,1.88199999999779
"standard",3,"kml3d",0.986598879940902,0.982247792620475,0.295999999987544
"standard",4,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.19800000000396
"standard",4,"longTAPIO-random_weighted_95",0.986598879940902,0.982247792620475,2.36299999999756
"standard",4,"longTAPIO-first",0.850148058669394,0.841925947160324,2.14299999999639
"standard",4,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.19800000000396
"standard",4,"clusterMLD",1,1,1.73599999998987
"standard",4,"kml3d",1,1,0.290999999997439
"standard",5,"longTAPIO-random_weighted",1,1,2.32600000000093
"standard",5,"longTAPIO-random_weighted_95",1,1,2.14600000000792
"standard",5,"longTAPIO-first",0.895535220115108,0.881424646807241,2.15200000000186
"standard",5,"longTAPIO-screened",1,1,2.32600000000093
"standard",5,"clusterMLD",1,1,1.74199999999837
"standard",5,"kml3d",1,1,0.289000000004307
"standard",6,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.26400000001013
"standard",6,"longTAPIO-random_weighted_95",0.973199601143244,0.96449558524095,2.1479999999865
"standard",6,"longTAPIO-first",0.650667301523188,0.686066372933001,2.15400000000955
"standard",6,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.26400000001013
"standard",6,"clusterMLD",1,1,1.73099999999977
"standard",6,"kml3d",1,1,0.291999999986729
"standard",7,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.16799999999057
"standard",7,"longTAPIO-random_weighted_95",0.986598879940902,0.982247792620475,2.18600000000151
"standard",7,"longTAPIO-first",0.886761859503205,0.875463361203259,2.31599999999162
