"scenario","run","P","P_signal","P_selected","signals_retained","false_positives","signal_mass","enrichment"
"nuisance50",1,50,5,3,3,0,0.181405934293485,1.99446035225317
"nuisance50",2,50,5,2,2,0,0.145591038783924,1.53359738548428
"nuisance50",3,50,5,6,4,2,0.167477886587084,1.81052365456648
"nuisance50",4,50,5,2,2,0,0.208841402610472,2.37572166907622
"nuisance50",5,50,5,3,2,1,0.149970075809857,1.5878625491622
"nuisance50",6,50,5,3,3,0,0.175551874139298,1.91639330322237
"nuisance50",7,50,5,2,2,0,0.146770302117395,1.5481560502812
"nuisance50",8,50,5,2,2,0,0.181157883430459,1.99112981352818
"nuisance50",9,50,5,2,2,0,0.17775721521144,1.94567221081101
"nuisance50",10,50,5,2,2,0,0.170753872722618,1.85323127109343
"nuisance50",11,50,5,8,4,4,0.140039488064753,1.46559682112203
"nuisance50",12,50,5,3,3,0,0.166116278856531,1.79287168198785
"nuisance50",13,50,5,7,3,4,0.150507415355618,1.59455981451283
"nuisance50",14,50,5,2,2,0,0.193928152409155,2.16525782025366
"nuisance50",15,50,5,2,2,0,0.152980905583515,1.62549836163981
"nuisance50",16,50,5,3,1,2,0.140498371727332,1.47118435143306
"nuisance50",17,50,5,5,4,1,0.170077091828841,1.84438073872747
"nuisance50",18,50,5,13,3,10,0.137138396331774,1.43040965287933
"nuisance50",19,50,5,2,2,0,0.174668495687457,1.90470914168788
"nuisance50",20,50,5,5,4,1,0.167977069202308,1.81700956411305
"nuisance50",21,50,5,3,2,1,0.173091572721173,1.88391374800353
"nuisance50",22,50,5,2,2,0,0.167591641068718,1.81200098897971
"nuisance50",23,50,5,2,2,0,0.217065074243495,2.49520822730423
"nuisance50",24,50,5,4,3,1,0.162754872295753,1.74954001186998
"nuisance50",25,50,5,2,2,0,0.166532126432034,1.79825664002164
"nuisance50",26,50,5,2,2,0,0.160472230434495,1.72031244976913
"nuisance50",27,50,5,2,2,0,0.184268873636494,2.03304717587719
"nuisance50",28,50,5,3,2,1,0.167309989461842,1.80834390481448
"nuisance50",29,50,5,2,2,0,0.163352096097987,1.75721334868015
"nuisance50",30,50,5,4,4,0,0.191693717429256,2.13439322947773
"nuisance100",1,100,5,4,0,4,0.0584488829720909,1.17946732406331
"nuisance100",2,100,5,2,0,2,0.0565050383371713,1.13789238101933
"nuisance100",3,100,5,4,1,3,0.060712695020601,1.22810262555046
"nuisance100",4,100,5,2,2,0,0.0694715118177115,1.41850436746429
"nuisance100",5,100,5,3,2,1,0.0592741816331051,1.19717076861365
"nuisance100",6,100,5,2,2,0,0.0577861673169429,1.16527389106082
"nuisance100",7,100,5,2,1,1,0.0616159800801585,1.24757412388908
"nuisance100",8,100,5,4,0,4,0.0459998164737008,0.916138726273338
"nuisance100",9,100,5,5,2,3,0.0711234599411876,1.45481738487765
"nuisance100",10,100,5,6,1,5,0.0608300313701953,1.2306298483116
"nuisance100",11,100,5,13,2,11,0.053339637791,1.07055619785764
"nuisance100",12,100,5,30,4,26,0.062542359091227,1.26758241746408
"nuisance100",13,100,5,26,2,24,0.0649615977836817,1.32002103332266
"nuisance100",14,100,5,3,1,2,0.0556262483755438,1.11915300199451
"nuisance100",15,100,5,6,1,5,0.053282695203795,1.06934900602671
"nuisance100",16,100,5,3,2,1,0.0625678685058591,1.2681339391648
"nuisance100",17,100,5,5,0,5,0.0445921958852416,0.886795898223397
"nuisance100",18,100,5,3,0,3,0.0560720533222787,1.12865501744387
"nuisance100",19,100,5,3,0,3,0.0550327287216954,1.10651646622401
"nuisance100",20,100,5,2,1,1,0.0588677359634865,1.18844824053641
"nuisance100",21,100,5,6,2,4,0.0588359143282477,1.18776565027853
"nuisance100",22,100,5,3,0,3,0.0539019288213419,1.08248465862489
"nuisance100",23,100,5,7,2,5,0.0737301691709486,1.51238134679846
"nuisance100",24,100,5,3,2,1,0.0839541983786112,1.74132097584013
"nuisance100",25,100,5,18,2,16,0.05337842595628,1.07137859623985
"nuisance100",26,100,5,2,1,1,0.0720376043800843,1.47496761687983
"nuisance100",27,100,5,2,1,1,0.0632959853813823,1.28388872416215
"nuisance100",28,100,5,2,1,1,0.0582067884180876,1.1742800503797
"nuisance100",29,100,5,2,2,0,0.069231544030174,1.41324013307124
"nuisance100",30,100,5,3,2,1,0.0686105665921297,1.39963018528212
