"scenario","method","n","ARI","NMI","seconds","mean_ARI","sd_ARI","mean_NMI","sd_NMI"
"standard","longTAPIO-random_weighted",30,"0.985 +/- 0.023","0.983 +/- 0.024","2.233 +/- 0.060",0.985231432878199,0.0229416156195332,0.983224679780417,0.0240464969002691
"standard","longTAPIO-random_weighted_95",30,"0.977 +/- 0.026","0.974 +/- 0.026","2.211 +/- 0.088",0.976548802459239,0.0260240408098706,0.97398992842707,0.026083051697162
"standard","longTAPIO-first",30,"0.745 +/- 0.114","0.765 +/- 0.093","2.174 +/- 0.054",0.745011603102746,0.114396552072076,0.764724246968044,0.0931208256620854
"standard","longTAPIO-screened",30,"0.985 +/- 0.023","0.983 +/- 0.024","2.233 +/- 0.060",0.985231432878199,0.0229416156195332,0.983224679780417,0.0240464969002691
"standard","clusterMLD",30,"1.000 +/- 0.000","1.000 +/- 0.000","1.747 +/- 0.048",1,0,1,0
"standard","kml3d",30,"0.986 +/- 0.021","0.983 +/- 0.022","0.298 +/- 0.005",0.986038976587725,0.0207184638740231,0.983451323198499,0.0223858998689565
"irregular","longTAPIO-random_weighted",30,"0.940 +/- 0.043","0.935 +/- 0.042","2.714 +/- 0.125",0.940120448564658,0.0428171215942947,0.93456802802091,0.0418286666913331
"irregular","longTAPIO-random_weighted_95",30,"0.948 +/- 0.034","0.942 +/- 0.034","2.604 +/- 0.142",0.947787100781635,0.034349627552761,0.941974678263904,0.0344779080768899
"irregular","longTAPIO-first",30,"0.525 +/- 0.110","0.571 +/- 0.089","2.705 +/- 0.055",0.525199883609905,0.110296181561421,0.57125456801314,0.0889275001291295
"irregular","longTAPIO-screened",30,"0.940 +/- 0.043","0.935 +/- 0.042","2.714 +/- 0.125",0.940120448564658,0.0428171215942947,0.93456802802091,0.0418286666913331
"irregular","clusterMLD",30,"0.951 +/- 0.034","0.942 +/- 0.037","1.949 +/- 0.031",0.951319102356543,0.0342778147101565,0.942211562378108,0.0367253974436181
"irregular","kml3d",30,"0.950 +/- 0.036","0.942 +/- 0.038","0.502 +/- 0.019",0.950397850945103,0.0359698026870839,0.942068261206486,0.0376609927518542
"noisy","longTAPIO-random_weighted",30,"0.667 +/- 0.070","0.671 +/- 0.063","2.317 +/- 0.078",0.667450461399032,0.069984022821365,0.671378731804819,0.0628451792281617
"noisy","longTAPIO-random_weighted_95",30,"0.647 +/- 0.075","0.658 +/- 0.056","2.326 +/- 0.093",0.646846996587568,0.0751876047000125,0.657713133120625,0.0558691092277798
"noisy","longTAPIO-first",30,"0.501 +/- 0.079","0.528 +/- 0.067","2.287 +/- 0.050",0.501038759693965,0.0787521203332968,0.527718252716853,0.0665276955492946
"noisy","longTAPIO-screened",30,"0.667 +/- 0.070","0.671 +/- 0.063","2.317 +/- 0.078",0.667450461399032,0.069984022821365,0.671378731804819,0.0628451792281617
"noisy","clusterMLD",30,"0.713 +/- 0.064","0.714 +/- 0.057","1.787 +/- 0.057",0.713384276209065,0.0635729603585356,0.713800797906824,0.0568533588770006
"noisy","kml3d",30,"0.853 +/- 0.046","0.838 +/- 0.046","0.311 +/- 0.007",0.852796356657041,0.0455278791682306,0.837850845257087,0.046148531079055
"imbalanced","longTAPIO-random_weighted",30,"0.926 +/- 0.127","0.916 +/- 0.094","2.291 +/- 0.077",0.926115424456576,0.126861666822459,0.91563045449845,0.0943387141089181
"imbalanced","longTAPIO-random_weighted_95",30,"0.919 +/- 0.146","0.922 +/- 0.099","2.294 +/- 0.096",0.919238459721308,0.145991223241784,0.922322688215173,0.0994329440933815
"imbalanced","longTAPIO-first",30,"0.575 +/- 0.144","0.624 +/- 0.099","2.243 +/- 0.028",0.574703768606696,0.143907981780488,0.623946260833377,0.0989617412103363
"imbalanced","longTAPIO-screened",30,"0.926 +/- 0.127","0.916 +/- 0.094","2.291 +/- 0.077",0.926115424456576,0.126861666822459,0.91563045449845,0.0943387141089181
"imbalanced","clusterMLD",30,"0.999 +/- 0.004","0.997 +/- 0.008","1.788 +/- 0.060",0.998809489937109,0.0035649360439323,0.997072424876695,0.00768369895004018
"imbalanced","kml3d",30,"0.994 +/- 0.008","0.986 +/- 0.016","0.305 +/- 0.005",0.994094739420387,0.00753979666399658,0.98613374200616,0.0159033979676567
"nuisance50","longTAPIO-random_weighted",30,"0.129 +/- 0.076","0.166 +/- 0.077","2.596 +/- 0.118",0.129314162255975,0.0761126112544005,0.16575612513848,0.0774790417277851
"nuisance50","longTAPIO-random_weighted_95",30,"0.149 +/- 0.102","0.185 +/- 0.111","2.488 +/- 0.062",0.148545037943565,0.101764043987787,0.184801302995705,0.110517401704765
"nuisance50","longTAPIO-first",30,"0.318 +/- 0.118","0.354 +/- 0.110","2.511 +/- 0.052",0.318429404382227,0.118393677194924,0.354245100350877,0.109574194805311
"nuisance50","longTAPIO-screened",30,"0.776 +/- 0.174","0.798 +/- 0.150","6.447 +/- 0.092",0.776448383358542,0.174163433902711,0.798464947867671,0.149596607373883
"nuisance50","clusterMLD",30,"0.000 +/- 0.000","0.015 +/- 0.000","2.625 +/- 0.061",1.2877466462159e-05,0.000101593881610818,0.0150888159389083,5.52691405188193e-05
"nuisance50","kml3d",30,"0.129 +/- 0.077","0.160 +/- 0.082","2.692 +/- 0.061",0.128737104624145,0.0766402252078073,0.159977978852527,0.082023874763838
"nuisance100","longTAPIO-random_weighted",30,"0.042 +/- 0.035","0.066 +/- 0.040","2.651 +/- 0.103",0.0421698761933968,0.0349311724875986,0.0663208448866115,0.0396702691831709
"nuisance100","longTAPIO-random_weighted_95",30,"0.039 +/- 0.041","0.062 +/- 0.044","2.626 +/- 0.098",0.0390249651677623,0.040790187110148,0.0624603497550661,0.0436662322261105
"nuisance100","longTAPIO-first",30,"0.069 +/- 0.042","0.098 +/- 0.049","2.640 +/- 0.075",0.0690886907724683,0.0415951464382846,0.0981993954470481,0.0488131405074641
"nuisance100","longTAPIO-screened",30,"0.288 +/- 0.281","0.333 +/- 0.281","6.594 +/- 0.193",0.288000271306185,0.280508747608886,0.33349466701654,0.28113165823433
"nuisance100","clusterMLD",30,"-0.000 +/- 0.000","0.015 +/- 0.000","4.318 +/- 0.117",-1.43361529287072e-05,6.66913989597687e-05,0.015073991285344,3.60796349794289e-05
"nuisance100","kml3d",30,"0.037 +/- 0.024","0.058 +/- 0.025","8.876 +/- 0.134",0.0372996208399807,0.0237362209853246,0.0581810938882852,0.025120373332425
