"run","visit","cluster","feature","importance"
1,1,1,"y1",0.849058029491421
1,1,1,"y2",0.947495407571969
1,1,1,"y3",0.758639345400543
1,1,1,"y4",0.785635147088298
1,1,1,"y5",0.705764722109873
1,1,2,"y1",0.776782747732647
1,1,2,"y2",0.956728456726605
1,1,2,"y3",0.695802457175344
1,1,2,"y4",0.757687599224947
1,1,2,"y5",0.644352425248924
1,1,3,"y1",0.915019895350124
1,1,3,"y2",0.845645654499328
1,1,3,"y3",0.731551124878198
1,1,3,"y4",0.763036613347714
1,1,3,"y5",0.659603006941809
1,1,4,"y1",0.773777676124736
1,1,4,"y2",0.826473658650038
1,1,4,"y3",0.653176412331582
1,1,4,"y4",0.97250562330952
1,1,4,"y5",0.610552803789272
1,2,1,"y1",0.820302960782875
1,2,1,"y2",0.962481883360262
1,2,1,"y3",0.798928173075808
1,2,1,"y4",0.785273140994769
1,2,1,"y5",0.764806006826302
1,2,2,"y1",0.812975076453991
1,2,2,"y2",0.957368433960027
1,2,2,"y3",0.776826244117142
1,2,2,"y4",0.808991040828343
1,2,2,"y5",0.665660404904839
1,2,3,"y1",0.961005093039063
1,2,3,"y2",0.880979314250317
1,2,3,"y3",0.81792752617712
1,2,3,"y4",0.797955020320154
1,2,3,"y5",0.699489606351961
1,2,4,"y1",0.911798497133684
1,2,4,"y2",0.887128400811418
1,2,4,"y3",0.822818051395327
1,2,4,"y4",0.956969212098298
1,2,4,"y5",0.659201275463223
1,3,1,"y1",0.861748009379488
1,3,1,"y2",0.96775681139321
1,3,1,"y3",0.811957816080577
1,3,1,"y4",0.785566434236851
1,3,1,"y5",0.657333992682852
1,3,2,"y1",0.775144757671858
1,3,2,"y2",0.93916474435383
1,3,2,"y3",0.752321866951947
1,3,2,"y4",0.818218736719756
1,3,2,"y5",0.631460505683354
1,3,3,"y1",0.973972061930118
1,3,3,"y2",0.907566546597326
1,3,3,"y3",0.83277056877724
1,3,3,"y4",0.772362400245925
1,3,3,"y5",0.715671313890101
1,3,4,"y1",0.955077201161691
1,3,4,"y2",0.921974430501481
1,3,4,"y3",0.848086225946342
1,3,4,"y4",0.980737344365259
1,3,4,"y5",0.634684779480577
1,4,1,"y1",0.868044866310337
1,4,1,"y2",0.994247258858725
1,4,1,"y3",0.782497216698192
1,4,1,"y4",0.819347937934493
1,4,1,"y5",0.657727473247531
1,4,2,"y1",0.851690668499893
1,4,2,"y2",0.888191760725281
1,4,2,"y3",0.780650081160684
1,4,2,"y4",0.851085201049906
1,4,2,"y5",0.684003729938236
1,4,3,"y1",0.977845078057435
1,4,3,"y2",0.945975349240344
1,4,3,"y3",0.84737465932333
1,4,3,"y4",0.824366054999413
1,4,3,"y5",0.740096514015015
1,4,4,"y1",0.973000627438203
1,4,4,"y2",0.958894021124141
1,4,4,"y3",0.929707770700921
1,4,4,"y4",0.924882796567789
1,4,4,"y5",0.677060265472293
1,5,1,"y1",0.874949331858559
1,5,1,"y2",0.97047036155979
1,5,1,"y3",0.77850546067799
1,5,1,"y4",0.816347500373252
1,5,1,"y5",0.685258933436331
1,5,2,"y1",0.954011807004527
1,5,2,"y2",0.836455688442421
1,5,2,"y3",0.840642011619135
1,5,2,"y4",0.834902307633655
1,5,2,"y5",0.745326113827333
1,5,3,"y1",0.971536119029564
1,5,3,"y2",0.964035456437539
1,5,3,"y3",0.855789261355197
1,5,3,"y4",0.825160973453795
1,5,3,"y5",0.748114941480656
1,5,4,"y1",0.970714498151787
1,5,4,"y2",0.951163829947678
1,5,4,"y3",0.892145407354534
1,5,4,"y4",0.967992313719084
1,5,4,"y5",0.641066634053738
1,6,1,"y1",0.871452417573766
1,6,1,"y2",0.967210868626153
1,6,1,"y3",0.747948817369234
1,6,1,"y4",0.855798095432532
1,6,1,"y5",0.68244568186884
1,6,2,"y1",0.993709505100933
1,6,2,"y2",0.855866070311313
1,6,2,"y3",0.845350308695337
1,6,2,"y4",0.75969409222503
1,6,2,"y5",0.738362337251215
1,6,3,"y1",0.984892348504479
1,6,3,"y2",0.946580583822169
1,6,3,"y3",0.855413297775038
1,6,3,"y4",0.818137265890277
1,6,3,"y5",0.770157128138794
1,6,4,"y1",0.972475006069297
1,6,4,"y2",0.955976870034226
1,6,4,"y3",0.913745207450265
1,6,4,"y4",0.963944978248775
1,6,4,"y5",0.653415494456485
1,7,1,"y1",0.871545924930435
1,7,1,"y2",0.98225772754546
1,7,1,"y3",0.744919047016233
1,7,1,"y4",0.860394549167532
1,7,1,"y5",0.66500712265071
1,7,2,"y1",0.999932180965574
1,7,2,"y2",0.877795048064813
1,7,2,"y3",0.870279747622266
1,7,2,"y4",0.763041735750219
1,7,2,"y5",0.722794976384687
1,7,3,"y1",0.969063188198068
1,7,3,"y2",0.973907351270287
1,7,3,"y3",0.85697765851127
1,7,3,"y4",0.83406989693766
1,7,3,"y5",0.779352699137609
1,7,4,"y1",0.967066933412704
1,7,4,"y2",0.964014378877654
1,7,4,"y3",0.926669357610142
1,7,4,"y4",0.956707664027029
1,7,4,"y5",0.65065569817856
1,8,1,"y1",0.870324704062971
1,8,1,"y2",0.983930552118868
1,8,1,"y3",0.753450960957732
1,8,1,"y4",0.841736659056025
1,8,1,"y5",0.663419260160628
1,8,2,"y1",1
1,8,2,"y2",0.843826322587718
1,8,2,"y3",0.84049045880834
1,8,2,"y4",0.769659359669362
1,8,2,"y5",0.725622055694873
1,8,3,"y1",0.970810262345029
1,8,3,"y2",0.973544213662436
1,8,3,"y3",0.84489632728317
1,8,3,"y4",0.85451473701365
1,8,3,"y5",0.768105994528362
1,8,4,"y1",0.957133904728643
1,8,4,"y2",0.961968932384624
1,8,4,"y3",0.921399369697259
1,8,4,"y4",0.956594559643343
1,8,4,"y5",0.645898469054272
1,9,1,"y1",0.873715743316126
1,9,1,"y2",0.989626077524384
1,9,1,"y3",0.748522901729787
1,9,1,"y4",0.840860331239108
1,9,1,"y5",0.671862861192986
1,9,2,"y1",1
1,9,2,"y2",0.849203832513209
1,9,2,"y3",0.844328919272761
1,9,2,"y4",0.762781795889145
1,9,2,"y5",0.732356183340698
1,9,3,"y1",0.964365059223985
1,9,3,"y2",0.95916150124373
1,9,3,"y3",0.840487764556876
1,9,3,"y4",0.859606250058221
1,9,3,"y5",0.781808046753696
1,9,4,"y1",0.966353788812066
1,9,4,"y2",0.957740442126031
1,9,4,"y3",0.920641530340814
1,9,4,"y4",0.960598142589917
1,9,4,"y5",0.646422750039916
1,10,1,"y1",0.861818700986497
1,10,1,"y2",0.993509807925237
1,10,1,"y3",0.756432568418827
1,10,1,"y4",0.850087758242453
1,10,1,"y5",0.665231259949672
1,10,2,"y1",1
1,10,2,"y2",0.84333490645692
1,10,2,"y3",0.828161746619917
1,10,2,"y4",0.7713649093431
1,10,2,"y5",0.733163553264133
1,10,3,"y1",0.968782948992653
1,10,3,"y2",0.968016381116799
1,10,3,"y3",0.840366440260428
1,10,3,"y4",0.865331361658725
1,10,3,"y5",0.777224743942684
1,10,4,"y1",0.967993702484093
1,10,4,"y2",0.951145117421423
1,10,4,"y3",0.915567584560093
1,10,4,"y4",0.967051311575316
1,10,4,"y5",0.653339507122251
2,1,1,"y1",0.808490105540519
2,1,1,"y2",0.916271900212209
2,1,1,"y3",0.751950103595629
2,1,1,"y4",0.794334580519233
2,1,1,"y5",0.729606027998859
2,1,2,"y1",0.837545183686797
2,1,2,"y2",0.90704565098132
2,1,2,"y3",0.818114262180906
2,1,2,"y4",0.816565382448575
2,1,2,"y5",0.797671665437644
2,1,3,"y1",0.979499638573946
2,1,3,"y2",0.78728091145201
2,1,3,"y3",0.695673248547135
2,1,3,"y4",0.778393557433604
2,1,3,"y5",0.733838196740735
2,1,4,"y1",0.77726047349638
2,1,4,"y2",0.821986162010161
2,1,4,"y3",0.733371746750917
2,1,4,"y4",0.955552116072174
2,1,4,"y5",0.672355130136042
2,2,1,"y1",0.909736744031313
2,2,1,"y2",0.973599612877801
2,2,1,"y3",0.794490481213924
2,2,1,"y4",0.819333288879351
2,2,1,"y5",0.742097735098669
2,2,2,"y1",0.907148808051047
2,2,2,"y2",0.921308340517135
2,2,2,"y3",0.805909668928426
2,2,2,"y4",0.817461098285432
2,2,2,"y5",0.765144679040152
2,2,3,"y1",0.929663604386683
2,2,3,"y2",0.857944594101594
2,2,3,"y3",0.823054187115011
2,2,3,"y4",0.776119602851561
2,2,3,"y5",0.815013113792702
2,2,4,"y1",0.84042999819967
2,2,4,"y2",0.822414091558301
2,2,4,"y3",0.805161480359188
2,2,4,"y4",0.953590491619168
2,2,4,"y5",0.671978103676443
2,3,1,"y1",0.936879292938772
2,3,1,"y2",0.931125237015003
2,3,1,"y3",0.776531788358156
2,3,1,"y4",0.800737683204743
2,3,1,"y5",0.711952468514001
2,3,2,"y1",0.881012764979721
2,3,2,"y2",0.901617455591116
2,3,2,"y3",0.823961309592556
2,3,2,"y4",0.74064177367588
2,3,2,"y5",0.687240861145541
2,3,3,"y1",0.967585177335315
2,3,3,"y2",0.897659097112703
2,3,3,"y3",0.820609997022695
2,3,3,"y4",0.77393910289965
2,3,3,"y5",0.767454584961135
2,3,4,"y1",0.905098237670935
2,3,4,"y2",0.893604789900286
2,3,4,"y3",0.877128610231927
2,3,4,"y4",0.958675916391589
2,3,4,"y5",0.689977210572859
2,4,1,"y1",0.955155038627831
2,4,1,"y2",0.957861920709898
2,4,1,"y3",0.752661613959435
2,4,1,"y4",0.794618049886857
2,4,1,"y5",0.714498997163378
2,4,2,"y1",0.920877121162285
2,4,2,"y2",0.864434891512535
2,4,2,"y3",0.892216211252478
2,4,2,"y4",0.787827539909788
2,4,2,"y5",0.705823050943656
2,4,3,"y1",0.987691283039505
2,4,3,"y2",0.913245580736518
2,4,3,"y3",0.812510804618461
2,4,3,"y4",0.802679913513431
2,4,3,"y5",0.769547313475774
2,4,4,"y1",0.947058940842934
2,4,4,"y2",0.928138984676185
2,4,4,"y3",0.903715973765254
2,4,4,"y4",0.933359757573049
2,4,4,"y5",0.694118890333173
2,5,1,"y1",0.969152116338659
2,5,1,"y2",0.953731181874154
2,5,1,"y3",0.780695448288784
2,5,1,"y4",0.80740374663008
2,5,1,"y5",0.707549797682418
2,5,2,"y1",0.937258153288015
2,5,2,"y2",0.864037040272357
2,5,2,"y3",0.920405669253059
2,5,2,"y4",0.779819938731481
2,5,2,"y5",0.728459373594669
2,5,3,"y1",0.995492225508913
2,5,3,"y2",0.928316679833614
2,5,3,"y3",0.847040848499362
2,5,3,"y4",0.798645549270768
2,5,3,"y5",0.785791420938845
2,5,4,"y1",0.983836277414051
2,5,4,"y2",0.953493760258019
2,5,4,"y3",0.891327119316373
2,5,4,"y4",0.903706157713589
2,5,4,"y5",0.692755636014577
2,6,1,"y1",0.994917961018081
2,6,1,"y2",0.936879079782686
2,6,1,"y3",0.770350145265201
2,6,1,"y4",0.814319776903777
2,6,1,"y5",0.740094198114832
2,6,2,"y1",0.961145362378506
2,6,2,"y2",0.865520983363174
2,6,2,"y3",0.91969186306047
2,6,2,"y4",0.765046267988761
2,6,2,"y5",0.712812940562987
2,6,3,"y1",0.992415916238089
2,6,3,"y2",0.918333175518196
2,6,3,"y3",0.863712263982275
2,6,3,"y4",0.774808374824554
