"visit","cluster","feature","mean_importance","sd_importance"
1,"Cluster 1","y1",0.833363023673346,0.0644697780662902
1,"Cluster 1","y2",0.924112502943231,0.0441922622929288
1,"Cluster 1","y3",0.799387445516896,0.0665779354755682
1,"Cluster 1","y4",0.795903711227405,0.059827495055882
1,"Cluster 1","y5",0.697332051164283,0.0613614773874202
1,"Cluster 2","y1",0.821381834481652,0.0637884894421964
1,"Cluster 2","y2",0.918880135359827,0.0495254307011716
1,"Cluster 2","y3",0.78808885453016,0.0533321921927459
1,"Cluster 2","y4",0.822438663521714,0.0551677529126305
1,"Cluster 2","y5",0.721384955268237,0.0718314960211494
1,"Cluster 3","y1",0.914756001085221,0.055953226607513
1,"Cluster 3","y2",0.868564479826847,0.0620983090074217
1,"Cluster 3","y3",0.7829452547366,0.0610535392076055
1,"Cluster 3","y4",0.786192166394646,0.0657698317025901
1,"Cluster 3","y5",0.680902893099589,0.0555907742375961
1,"Cluster 4","y1",0.775077848321713,0.0610577811901252
1,"Cluster 4","y2",0.812675048673407,0.0716938447207203
1,"Cluster 4","y3",0.660970982015316,0.0682287379509512
1,"Cluster 4","y4",0.96920941766237,0.0346033462883878
1,"Cluster 4","y5",0.635423680828298,0.0658412324947552
2,"Cluster 1","y1",0.844564674731692,0.0607749923431115
2,"Cluster 1","y2",0.94955094922716,0.0320874623405794
2,"Cluster 1","y3",0.795682563401301,0.0556779877854432
2,"Cluster 1","y4",0.796510883812235,0.0504715934405724
2,"Cluster 1","y5",0.685475277902963,0.0529704282089464
2,"Cluster 2","y1",0.8502538484845,0.0562255291450789
2,"Cluster 2","y2",0.90638223553019,0.0577903472853025
2,"Cluster 2","y3",0.816327626950635,0.0497826013111255
2,"Cluster 2","y4",0.805788608353473,0.0526903192394043
2,"Cluster 2","y5",0.698843098070902,0.0509475242671505
2,"Cluster 3","y1",0.935432057604805,0.0507629137406085
2,"Cluster 3","y2",0.890517582937101,0.0672389208945266
2,"Cluster 3","y3",0.804416597681279,0.0600009797877944
2,"Cluster 3","y4",0.798535945151463,0.0571721281186092
2,"Cluster 3","y5",0.701280998157224,0.0501050976649733
2,"Cluster 4","y1",0.833077920189617,0.0535032176493788
2,"Cluster 4","y2",0.840080527091015,0.0688426087284042
2,"Cluster 4","y3",0.736358519631663,0.0747421553400582
2,"Cluster 4","y4",0.963543752628964,0.0375316007557518
2,"Cluster 4","y5",0.648024704505121,0.0598116883698041
3,"Cluster 1","y1",0.86811395137248,0.0610593507467367
3,"Cluster 1","y2",0.959350312083373,0.0275216011998733
3,"Cluster 1","y3",0.800518687979239,0.0572091354604555
3,"Cluster 1","y4",0.793813617012719,0.0603535633067123
3,"Cluster 1","y5",0.676819062650904,0.0570627862210234
3,"Cluster 2","y1",0.889502842481565,0.0563271440982071
3,"Cluster 2","y2",0.891970052006492,0.0525259546231949
3,"Cluster 2","y3",0.84073356883858,0.0619011715892318
3,"Cluster 2","y4",0.808156512907376,0.0709366395497903
3,"Cluster 2","y5",0.685402229660785,0.0508572633050876
3,"Cluster 3","y1",0.941695735592805,0.047786975734913
3,"Cluster 3","y2",0.92477294282545,0.0487653122353908
3,"Cluster 3","y3",0.821950919284316,0.0607769972261958
3,"Cluster 3","y4",0.81412386181087,0.0627176980211532
3,"Cluster 3","y5",0.713505719458683,0.0493557685078323
3,"Cluster 4","y1",0.883954873764657,0.0580907571623125
3,"Cluster 4","y2",0.860581611164794,0.0714859918785121
3,"Cluster 4","y3",0.789154617993136,0.0777754015285771
3,"Cluster 4","y4",0.968095831544098,0.033715799673913
3,"Cluster 4","y5",0.657326955328494,0.0554535538036134
4,"Cluster 1","y1",0.900135858438134,0.056954642029594
4,"Cluster 1","y2",0.959291704759566,0.0349961276114725
4,"Cluster 1","y3",0.806625861272079,0.0524810015081859
4,"Cluster 1","y4",0.815068491593673,0.0538896080892447
4,"Cluster 1","y5",0.689508084974095,0.0584855852738255
4,"Cluster 2","y1",0.926259550178275,0.0395991121832984
4,"Cluster 2","y2",0.874417525343776,0.0568341217269914
4,"Cluster 2","y3",0.855988240355646,0.0510146378220032
4,"Cluster 2","y4",0.809683882398393,0.060197789104704
4,"Cluster 2","y5",0.667371061114606,0.0473480998740837
4,"Cluster 3","y1",0.938591480765389,0.0507754848237857
4,"Cluster 3","y2",0.947934810937301,0.0431663566556234
4,"Cluster 3","y3",0.840631926279685,0.0595322591731673
4,"Cluster 3","y4",0.821830709665358,0.0648098113089072
4,"Cluster 3","y5",0.723836545299816,0.0482335337645324
4,"Cluster 4","y1",0.907930694555781,0.054369147953143
4,"Cluster 4","y2",0.890650397638447,0.0681118519016779
4,"Cluster 4","y3",0.823455683778602,0.072151031643479
4,"Cluster 4","y4",0.96180553993644,0.0311040380979986
4,"Cluster 4","y5",0.668645283271841,0.0660684599538538
5,"Cluster 1","y1",0.917542364019226,0.0569858282383678
5,"Cluster 1","y2",0.966113879817527,0.0330518202950261
5,"Cluster 1","y3",0.815944060860069,0.0493628399435179
5,"Cluster 1","y4",0.81662995256101,0.0564919608451409
5,"Cluster 1","y5",0.691398584337454,0.0612092147954847
5,"Cluster 2","y1",0.950355735913772,0.0321401459810563
5,"Cluster 2","y2",0.866171266950526,0.0595474322788642
5,"Cluster 2","y3",0.858888104402963,0.0464300757487008
5,"Cluster 2","y4",0.80674804068024,0.0568725241672934
5,"Cluster 2","y5",0.670444635030763,0.0500632378552745
5,"Cluster 3","y1",0.941149382808723,0.0520572394283406
5,"Cluster 3","y2",0.95605874560721,0.0368404750348072
