"visit","feature","mean_importance","sd_importance"
1,"y1",0.836823575894893,0.135830389419848
1,"y2",0.881045808285315,0.127762007774075
1,"y3",0.757802872006936,0.153526345972808
1,"y4",0.843041583030854,0.152462304830809
1,"y5",0.683802657060585,0.147356733468634
2,"y1",0.866327764218286,0.122068744269305
2,"y2",0.89697038054126,0.117825547741116
2,"y3",0.788440419199932,0.145420714653864
2,"y4",0.84071397666934,0.144988220039538
2,"y5",0.683624372896739,0.133260785197532
3,"y1",0.896318246165241,0.109328730736103
3,"y2",0.909589010772142,0.103961236374934
3,"y3",0.813096241828788,0.133293448473653
3,"y4",0.845537110826079,0.137012124269168
3,"y5",0.683614534242534,0.124588834278545
4,"y1",0.918455426171186,0.0965999913969574
4,"y2",0.918626480009446,0.0961042733095768
4,"y3",0.831561178738595,0.116759912244283
4,"y4",0.851657716370382,0.123811219980704
4,"y5",0.687572836463374,0.12001776058224
5,"y1",0.931386576453372,0.0834558746346955
5,"y2",0.924637307805105,0.0892381805886259
5,"y3",0.840031981184613,0.106624304707935
5,"y4",0.851082077234787,0.119038215287299
5,"y5",0.690759056782301,0.115972343609
6,"y1",0.940398912497565,0.0758760086567289
6,"y2",0.928404756966404,0.0857790956488328
6,"y3",0.848890541852171,0.0981689177156249
6,"y4",0.849785339942696,0.114906246375338
6,"y5",0.690668693184419,0.112675225737731
7,"y1",0.94126721063289,0.0754208187055236
7,"y2",0.931642959817931,0.0844243787708792
7,"y3",0.849482248723525,0.0954747379428059
7,"y4",0.850761779642331,0.111156209518635
7,"y5",0.692618050257011,0.10975885463047
8,"y1",0.943877561857614,0.0701083752552275
8,"y2",0.931909125033588,0.0824575892389566
8,"y3",0.851288205612272,0.0922609615819829
8,"y4",0.851086967162591,0.109128844316478
8,"y5",0.692792497162527,0.108124461090342
9,"y1",0.943933718364275,0.0691271957899042
9,"y2",0.933036255884186,0.0823695473151783
9,"y3",0.850908180247569,0.0928253436870811
9,"y4",0.849937223815941,0.108615494869743
9,"y5",0.694017105053883,0.107363915926612
10,"y1",0.942672183995077,0.0688746627239697
10,"y2",0.93506747292158,0.0817855315214724
10,"y3",0.850510913752156,0.0932565816730824
10,"y4",0.85059882504049,0.108227981182786
10,"y5",0.693333154235109,0.107280266888863
