"run","visit","cluster","feature","incremental_importance"
1,1,1,"y1",0.849058029491421
1,1,1,"y2",0.947495407571969
1,1,1,"y3",0.758639345400543
1,1,1,"y4",0.785635147088298
1,1,1,"y5",0.705764722109873
1,1,2,"y1",0.776782747732647
1,1,2,"y2",0.956728456726605
1,1,2,"y3",0.695802457175344
1,1,2,"y4",0.757687599224947
1,1,2,"y5",0.644352425248924
1,1,3,"y1",0.915019895350124
1,1,3,"y2",0.845645654499328
1,1,3,"y3",0.731551124878198
1,1,3,"y4",0.763036613347714
1,1,3,"y5",0.659603006941809
1,1,4,"y1",0.773777676124736
1,1,4,"y2",0.826473658650038
1,1,4,"y3",0.653176412331582
1,1,4,"y4",0.97250562330952
1,1,4,"y5",0.610552803789272
1,2,1,"y1",-0.0287550687085453
1,2,1,"y2",0.0149864757882932
1,2,1,"y3",0.0402888276752648
1,2,1,"y4",-0.00036200609352921
1,2,1,"y5",0.059041284716429
1,2,2,"y1",0.0361923287213443
1,2,2,"y2",0.000639977233422573
1,2,2,"y3",0.0810237869417983
1,2,2,"y4",0.0513034416033958
1,2,2,"y5",0.0213079796559145
1,2,3,"y1",0.0459851976889384
1,2,3,"y2",0.0353336597509885
1,2,3,"y3",0.0863764012989219
1,2,3,"y4",0.0349184069724395
1,2,3,"y5",0.0398865994101529
1,2,4,"y1",0.138020821008949
1,2,4,"y2",0.0606547421613803
1,2,4,"y3",0.169641639063745
1,2,4,"y4",-0.0155364112112214
1,2,4,"y5",0.0486484716739515
1,3,1,"y1",0.0414450485966124
1,3,1,"y2",0.0052749280329476
1,3,1,"y3",0.0130296430047688
1,3,1,"y4",0.000293293242082937
1,3,1,"y5",-0.107472014143449
1,3,2,"y1",-0.0378303187821331
1,3,2,"y2",-0.018203689606197
1,3,2,"y3",-0.0245043771651945
1,3,2,"y4",0.00922769589141281
1,3,2,"y5",-0.0341998992214844
1,3,3,"y1",0.0129669688910552
1,3,3,"y2",0.0265872323470091
1,3,3,"y3",0.01484304260012
1,3,3,"y4",-0.0255926200742284
1,3,3,"y5",0.0161817075381393
1,3,4,"y1",0.0432787040280064
1,3,4,"y2",0.0348460296900625
1,3,4,"y3",0.0252681745510149
1,3,4,"y4",0.0237681322669606
1,3,4,"y5",-0.0245164959826459
1,4,1,"y1",0.00629685693084925
1,4,1,"y2",0.0264904474655159
1,4,1,"y3",-0.0294605993823852
1,4,1,"y4",0.0337815036976412
1,4,1,"y5",0.000393480564678361
1,4,2,"y1",0.0765459108280353
1,4,2,"y2",-0.0509729836285493
1,4,2,"y3",0.0283282142087369
1,4,2,"y4",0.0328664643301501
1,4,2,"y5",0.0525432242548814
1,4,3,"y1",0.00387301612731716
1,4,3,"y2",0.0384088026430184
1,4,3,"y3",0.0146040905460901
1,4,3,"y4",0.0520036547534881
1,4,3,"y5",0.0244252001249142
1,4,4,"y1",0.0179234262765122
1,4,4,"y2",0.0369195906226605
1,4,4,"y3",0.0816215447545784
1,4,4,"y4",-0.0558545477974695
1,4,4,"y5",0.0423754859917158
1,5,1,"y1",0.00690446554822177
1,5,1,"y2",-0.0237768972989354
1,5,1,"y3",-0.00399175602020152
1,5,1,"y4",-0.00300043756124113
1,5,1,"y5",0.0275314601888001
1,5,2,"y1",0.102321138504634
1,5,2,"y2",-0.0517360722828596
1,5,2,"y3",0.059991930458451
1,5,2,"y4",-0.0161828934162509
1,5,2,"y5",0.0613223838890972
1,5,3,"y1",-0.00630895902787132
1,5,3,"y2",0.0180601071971943
1,5,3,"y3",0.00841460203186684
1,5,3,"y4",0.000794918454381177
1,5,3,"y5",0.00801842746564152
1,5,4,"y1",-0.00228612928641547
1,5,4,"y2",-0.00773019117646256
1,5,4,"y3",-0.0375623633463866
1,5,4,"y4",0.0431095171512951
1,5,4,"y5",-0.0359936314185553
1,6,1,"y1",-0.00349691428479315
1,6,1,"y2",-0.00325949293363736
1,6,1,"y3",-0.0305566433087565
1,6,1,"y4",0.0394505950592806
1,6,1,"y5",-0.00281325156749046
1,6,2,"y1",0.0396976980964057
1,6,2,"y2",0.0194103818688915
1,6,2,"y3",0.00470829707620202
1,6,2,"y4",-0.0752082154086255
1,6,2,"y5",-0.00696377657611846
1,6,3,"y1",0.0133562294749149
1,6,3,"y2",-0.017454872615369
1,6,3,"y3",-0.000375963580158678
1,6,3,"y4",-0.00702370756351756
1,6,3,"y5",0.0220421866581378
1,6,4,"y1",0.00176050791751015
1,6,4,"y2",0.00481304008654804
1,6,4,"y3",0.021599800095731
1,6,4,"y4",-0.00404733547030911
1,6,4,"y5",0.012348860402747
1,7,1,"y1",9.35073566691313e-05
1,7,1,"y2",0.0150468589193077
1,7,1,"y3",-0.00302977035300089
1,7,1,"y4",0.0045964537349994
1,7,1,"y5",-0.01743855921813
1,7,2,"y1",0.00622267586464176
1,7,2,"y2",0.0219289777534999
1,7,2,"y3",0.0249294389269283
1,7,2,"y4",0.00334764352518968
1,7,2,"y5",-0.0155673608665279
1,7,3,"y1",-0.0158291603064102
1,7,3,"y2",0.0273267674481172
1,7,3,"y3",0.0015643607362319
1,7,3,"y4",0.0159326310473825
1,7,3,"y5",0.0091955709988143
1,7,4,"y1",-0.00540807265659304
1,7,4,"y2",0.0080375088434278
1,7,4,"y3",0.0129241501598772
1,7,4,"y4",-0.00723731422174612
1,7,4,"y5",-0.00275979627792455
1,8,1,"y1",-0.00122122086746379
1,8,1,"y2",0.001672824573408
1,8,1,"y3",0.00853191394149955
1,8,1,"y4",-0.0186578901115065
1,8,1,"y5",-0.00158786249008225
1,8,2,"y1",6.78190344256535e-05
1,8,2,"y2",-0.033968725477095
1,8,2,"y3",-0.0297892888139261
1,8,2,"y4",0.00661762391914322
1,8,2,"y5",0.002827079310186
1,8,3,"y1",0.00174707414696018
1,8,3,"y2",-0.000363137607850672
1,8,3,"y3",-0.0120813312281003
1,8,3,"y4",0.0204448400759903
1,8,3,"y5",-0.0112467046092463
1,8,4,"y1",-0.00993302868406132
1,8,4,"y2",-0.00204544649303073
1,8,4,"y3",-0.00526998791288358
1,8,4,"y4",-0.000113104383686724
1,8,4,"y5",-0.004757229124288
1,9,1,"y1",0.00339103925315487
1,9,1,"y2",0.00569552540551521
1,9,1,"y3",-0.00492805922794493
1,9,1,"y4",-0.000876327816917377
1,9,1,"y5",0.00844360103235808
1,9,2,"y1",0
1,9,2,"y2",0.00537750992549113
1,9,2,"y3",0.00383846046442149
1,9,2,"y4",-0.00687756378021787
1,9,2,"y5",0.0067341276458257
1,9,3,"y1",-0.00644520312104324
1,9,3,"y2",-0.0143827124187058
1,9,3,"y3",-0.00440856272629397
1,9,3,"y4",0.00509151304457134
1,9,3,"y5",0.0137020522253336
1,9,4,"y1",0.00921988408342334
1,9,4,"y2",-0.00422849025859262
1,9,4,"y3",-0.000757839356444245
1,9,4,"y4",0.00400358294657421
1,9,4,"y5",0.000524280985643943
1,10,1,"y1",-0.0118970423296292
1,10,1,"y2",0.0038837304008531
1,10,1,"y3",0.00790966668904003
1,10,1,"y4",0.00922742700334489
1,10,1,"y5",-0.00663160124331419
1,10,2,"y1",0
1,10,2,"y2",-0.00586892605628841
1,10,2,"y3",-0.0161671726528442
1,10,2,"y4",0.00858311345395546
1,10,2,"y5",0.000807369923434553
1,10,3,"y1",0.00441788976866786
1,10,3,"y2",0.00885487987306832
1,10,3,"y3",-0.000121324296448289
1,10,3,"y4",0.00572511160050393
1,10,3,"y5",-0.00458330281101149
1,10,4,"y1",0.00163991367202687
1,10,4,"y2",-0.00659532470460777
1,10,4,"y3",-0.00507394578072129
1,10,4,"y4",0.00645316898539949
1,10,4,"y5",0.00691675708233497
2,1,1,"y1",0.808490105540519
2,1,1,"y2",0.916271900212209
2,1,1,"y3",0.751950103595629
2,1,1,"y4",0.794334580519233
2,1,1,"y5",0.729606027998859
2,1,2,"y1",0.837545183686797
2,1,2,"y2",0.90704565098132
2,1,2,"y3",0.818114262180906
2,1,2,"y4",0.816565382448575
2,1,2,"y5",0.797671665437644
2,1,3,"y1",0.979499638573946
2,1,3,"y2",0.78728091145201
2,1,3,"y3",0.695673248547135
2,1,3,"y4",0.778393557433604
2,1,3,"y5",0.733838196740735
2,1,4,"y1",0.77726047349638
2,1,4,"y2",0.821986162010161
2,1,4,"y3",0.733371746750917
2,1,4,"y4",0.955552116072174
2,1,4,"y5",0.672355130136042
2,2,1,"y1",0.101246638490794
2,2,1,"y2",0.057327712665592
2,2,1,"y3",0.0425403776182951
2,2,1,"y4",0.0249987083601176
2,2,1,"y5",0.0124917070998098
2,2,2,"y1",0.0696036243642493
2,2,2,"y2",0.0142626895358148
2,2,2,"y3",-0.0122045932524792
2,2,2,"y4",0.000895715836857547
2,2,2,"y5",-0.0325269863974922
2,2,3,"y1",-0.0498360341872625
2,2,3,"y2",0.0706636826495844
2,2,3,"y3",0.127380938567876
2,2,3,"y4",-0.00227395458204316
2,2,3,"y5",0.0811749170519666
2,2,4,"y1",0.06316952470329
2,2,4,"y2",0.00042792954813986
2,2,4,"y3",0.0717897336082708
2,2,4,"y4",-0.00196162445300563
2,2,4,"y5",-0.000377026459598695
2,3,1,"y1",0.027142548907459
2,3,1,"y2",-0.042474375862798
2,3,1,"y3",-0.0179586928557678
2,3,1,"y4",-0.0185956056746081
2,3,1,"y5",-0.0301452665846683
2,3,2,"y1",-0.0261360430713258
2,3,2,"y2",-0.0196908849260188
2,3,2,"y3",0.0180516406641291
2,3,2,"y4",-0.0768193246095525
2,3,2,"y5",-0.0779038178946105
2,3,3,"y1",0.0379215729486315
2,3,3,"y2",0.0397145030111095
2,3,3,"y3",-0.00244419009231656
2,3,3,"y4",-0.00218049995191083
2,3,3,"y5",-0.0475585288315661
2,3,4,"y1",0.0646682394712643
2,3,4,"y2",0.0711906983419849
2,3,4,"y3",0.0719671298727388
2,3,4,"y4",0.00508542477242102
2,3,4,"y5",0.0179991068964159
2,4,1,"y1",0.0182757456890584
2,4,1,"y2",0.0267366836948948
2,4,1,"y3",-0.0238701743987216
2,4,1,"y4",-0.00611963331788568
2,4,1,"y5",0.00254652864937688
2,4,2,"y1",0.0398643561825646
2,4,2,"y2",-0.0371825640785808
2,4,2,"y3",0.068254901659922
2,4,2,"y4",0.0471857662339081
2,4,2,"y5",0.0185821897981145
2,4,3,"y1",0.0201061057041897
2,4,3,"y2",0.0155864836238142
2,4,3,"y3",-0.00809919240423407
2,4,3,"y4",0.0287408106137814
2,4,3,"y5",0.00209272851463815
2,4,4,"y1",0.0419607031719991
2,4,4,"y2",0.0345341947758993
2,4,4,"y3",0.0265873635333269
2,4,4,"y4",-0.0253161588185402
2,4,4,"y5",0.00414167976031388
2,5,1,"y1",0.0139970777108286
2,5,1,"y2",-0.00413073883574389
2,5,1,"y3",0.0280338343293499
2,5,1,"y4",0.0127856967432228
2,5,1,"y5",-0.00694919948095907
2,5,2,"y1",0.0163810321257294
2,5,2,"y2",-0.000397851240178437
2,5,2,"y3",0.0281894580005819
2,5,2,"y4",-0.0080076011783069
2,5,2,"y5",0.0226363226510138
2,5,3,"y1",0.00780094246940821
2,5,3,"y2",0.0150710990970965
2,5,3,"y3",0.0345300438809011
2,5,3,"y4",-0.00403436424266268
2,5,3,"y5",0.0162441074630713
