"visit","cluster","feature","mean_incremental","sd_incremental"
1,"Cluster 1","y1",0.833363023673346,0.0644697780662902
1,"Cluster 1","y2",0.924112502943231,0.0441922622929288
1,"Cluster 1","y3",0.799387445516896,0.0665779354755682
1,"Cluster 1","y4",0.795903711227405,0.059827495055882
1,"Cluster 1","y5",0.697332051164283,0.0613614773874202
1,"Cluster 2","y1",0.821381834481652,0.0637884894421964
1,"Cluster 2","y2",0.918880135359827,0.0495254307011716
1,"Cluster 2","y3",0.78808885453016,0.0533321921927459
1,"Cluster 2","y4",0.822438663521714,0.0551677529126305
1,"Cluster 2","y5",0.721384955268237,0.0718314960211494
1,"Cluster 3","y1",0.914756001085221,0.055953226607513
1,"Cluster 3","y2",0.868564479826847,0.0620983090074217
1,"Cluster 3","y3",0.7829452547366,0.0610535392076055
1,"Cluster 3","y4",0.786192166394646,0.0657698317025901
1,"Cluster 3","y5",0.680902893099589,0.0555907742375961
1,"Cluster 4","y1",0.775077848321713,0.0610577811901252
1,"Cluster 4","y2",0.812675048673407,0.0716938447207203
1,"Cluster 4","y3",0.660970982015316,0.0682287379509512
1,"Cluster 4","y4",0.96920941766237,0.0346033462883878
1,"Cluster 4","y5",0.635423680828298,0.0658412324947552
2,"Cluster 1","y1",0.0112016510583462,0.0431369731608021
2,"Cluster 1","y2",0.0254384462839291,0.0347740684196116
2,"Cluster 1","y3",-0.00370488211559527,0.041732076207857
2,"Cluster 1","y4",0.000607172584830355,0.0432446880357725
2,"Cluster 1","y5",-0.0118567732613198,0.0548941571947689
2,"Cluster 2","y1",0.0288720140028476,0.0515091883978525
2,"Cluster 2","y2",-0.0124978998296363,0.0462395980755864
2,"Cluster 2","y3",0.0282387724204752,0.0576967073554889
2,"Cluster 2","y4",-0.0166500551682414,0.0505788089875534
2,"Cluster 2","y5",-0.022541857197335,0.0501420438973399
2,"Cluster 3","y1",0.0206760565195842,0.0391137581578171
2,"Cluster 3","y2",0.0219531031102539,0.0410972736112221
2,"Cluster 3","y3",0.0214713429446785,0.0520480626307685
2,"Cluster 3","y4",0.0123437787568171,0.0449666057329434
2,"Cluster 3","y5",0.0203781050576357,0.0430310125997255
2,"Cluster 4","y1",0.0580000718679039,0.0347621044539094
2,"Cluster 4","y2",0.0274054784176074,0.0248343834614099
2,"Cluster 4","y3",0.075387537616347,0.0352651092097014
2,"Cluster 4","y4",-0.00566566503340601,0.0191507529913922
2,"Cluster 4","y5",0.0126010236768225,0.027128519947172
3,"Cluster 1","y1",0.0235492766407882,0.0384802270374988
3,"Cluster 1","y2",0.00979936285621347,0.0314664489980307
3,"Cluster 1","y3",0.00483612457793838,0.051119273951613
3,"Cluster 1","y4",-0.0026972667995157,0.0454231314903379
3,"Cluster 1","y5",-0.00865621525205998,0.0487638443352478
3,"Cluster 2","y1",0.0392489939970648,0.0507181513690694
3,"Cluster 2","y2",-0.0144121835236988,0.0417799589145795
3,"Cluster 2","y3",0.024405941887945,0.0489872032394243
3,"Cluster 2","y4",0.00236790455390377,0.0478705996567115
3,"Cluster 2","y5",-0.0134408684101172,0.0431985493700499
3,"Cluster 3","y1",0.00626367798799962,0.0189714402318125
3,"Cluster 3","y2",0.0342553598883496,0.0288804146610692
3,"Cluster 3","y3",0.0175343216030373,0.0311107155224151
3,"Cluster 3","y4",0.0155879166594073,0.0313354519750563
3,"Cluster 3","y5",0.012224721301459,0.0220499917871384
3,"Cluster 4","y1",0.0508769535750396,0.0247387531336715
3,"Cluster 4","y2",0.0205010840737795,0.0255634751537936
3,"Cluster 4","y3",0.0527960983614728,0.0319859237311753
3,"Cluster 4","y4",0.00455207891513487,0.0216013290726316
3,"Cluster 4","y5",0.00930225082337388,0.0196418134309813
4,"Cluster 1","y1",0.0320219070656542,0.0212199179380843
4,"Cluster 1","y2",-5.86073238074321e-05,0.0189487590533212
4,"Cluster 1","y3",0.00610717329284005,0.0286781565358899
4,"Cluster 1","y4",0.0212548745809543,0.0321529864205529
4,"Cluster 1","y5",0.0126890223231912,0.0266864670584993
4,"Cluster 2","y1",0.0367567076967099,0.0359944802050642
4,"Cluster 2","y2",-0.0175525266627153,0.0316676022553947
4,"Cluster 2","y3",0.0152546715170655,0.0354762261612248
4,"Cluster 2","y4",0.0015273694910169,0.0339841329416002
4,"Cluster 2","y5",-0.0180311685461788,0.0430789146239521
4,"Cluster 3","y1",-0.00310425482741564,0.0171011739325717
4,"Cluster 3","y2",0.0231618681118511,0.0212450523116862
4,"Cluster 3","y3",0.0186810069953693,0.0177031162530768
4,"Cluster 3","y4",0.00770684785448796,0.0260826316763688
4,"Cluster 3","y5",0.010330825841133,0.021141736353035
4,"Cluster 4","y1",0.0239758207911245,0.0120462446642961
4,"Cluster 4","y2",0.0300687864736525,0.0200700962938018
4,"Cluster 4","y3",0.0343010657854662,0.0255558057130682
4,"Cluster 4","y4",-0.00629029160765836,0.0237993111130449
4,"Cluster 4","y5",0.0113183279433462,0.0201028399208525
5,"Cluster 1","y1",0.017406505581092,0.0173873470242678
5,"Cluster 1","y2",0.00682217505796118,0.0147046060699757
5,"Cluster 1","y3",0.00931819958799013,0.0199758008828106
5,"Cluster 1","y4",0.00156146096733677,0.0235761533646401
5,"Cluster 1","y5",0.00189049936335938,0.0220752659279509
5,"Cluster 2","y1",0.0240961857354972,0.0310384486720804
5,"Cluster 2","y2",-0.00824625839325027,0.0313583088870468
5,"Cluster 2","y3",0.00289986404731793,0.0312697860010235
5,"Cluster 2","y4",-0.00293584171815372,0.0266918510886533
