"Experiment","Structure","Condition","N","P","Signal","Noise","SignalFraction","Method","ARI_Mean","NMI_Mean","Time_Mean","ARI_SD","NMI_SD","Time_SD"
"DIMENSIONALITY","BALANCED","N120_P10_S4",120,10,4,6,0.4,"kml3d",0.545331432305771,0.594527815386216,0.316649999999891,0.140298049066654,0.127208637729113,0.00306551275033308
"DIMENSIONALITY","BALANCED","N120_P10_S4",120,10,4,6,0.4,"longTAPIO",0.755664129621683,0.807712912648751,0.995549999999912,0.0846948575972287,0.063268314674011,0.0392836848417219
"DIMENSIONALITY","BALANCED","N120_P100_S40",120,100,40,60,0.4,"kml3d",0.67615640908864,0.731731354619563,5.26985,0.0843725346567009,0.060937423364985,0.0619093352369576
"DIMENSIONALITY","BALANCED","N120_P100_S40",120,100,40,60,0.4,"longTAPIO",0.775001520847475,0.824468386642749,1.18364999999994,0.122433677109076,0.0902677646209424,0.0311723139644555
"DIMENSIONALITY","BALANCED","N120_P25_S10",120,25,10,15,0.4,"kml3d",0.683550569872627,0.733379108518531,0.595550000000139,0.0642199963725501,0.0488060163206338,0.0060041652209286
"DIMENSIONALITY","BALANCED","N120_P25_S10",120,25,10,15,0.4,"longTAPIO",0.748469171480341,0.803676885914233,1.03360000000007,0.0548156949553671,0.0386395568105072,0.0386446700894091
"DIMENSIONALITY","BALANCED","N120_P50_S20",120,50,20,30,0.4,"kml3d",0.673259370416947,0.730266875589269,1.6302000000001,0.0778114851817194,0.0540861736112025,0.0423762594907182
"DIMENSIONALITY","BALANCED","N120_P50_S20",120,50,20,30,0.4,"longTAPIO",0.765510369016633,0.821751062148101,1.13094999999998,0.131026638517162,0.0964861035730078,0.0326052546620268
"DIMENSIONALITY","BALANCED","N200_P10_S4",200,10,4,6,0.4,"kml3d",0.605883082045122,0.648924070339358,0.718299999999999,0.109739120195681,0.0983188176251759,0.147831020176156
"DIMENSIONALITY","BALANCED","N200_P10_S4",200,10,4,6,0.4,"longTAPIO",0.735025640224264,0.784492672877625,3.03624999999997,0.103371452714457,0.0797758334966805,0.593367719041164
"DIMENSIONALITY","BALANCED","N200_P100_S40",200,100,40,60,0.4,"kml3d",0.713905401147035,0.754737548699424,14.0098499999999,0.052724360732488,0.0393172752533367,0.98819480686549
"DIMENSIONALITY","BALANCED","N200_P100_S40",200,100,40,60,0.4,"longTAPIO",0.775774636820555,0.82425903345346,3.80679999999988,0.0791989313081192,0.0606037844958906,0.224375296510638
"DIMENSIONALITY","BALANCED","N200_P25_S10",200,25,10,15,0.4,"kml3d",0.688331839964063,0.727933180735152,1.51415000000006,0.0663261220102822,0.0510630056485795,0.0763711677478448
"DIMENSIONALITY","BALANCED","N200_P25_S10",200,25,10,15,0.4,"longTAPIO",0.766033967435243,0.815840041391134,3.40745000000015,0.0874801686667356,0.0636770382772304,0.193402899613582
